year,country,region,revenues,exports,gdp,oda,health,education
2005,Nigeria,Africa,37761759991,,112248000000,6408810000,,
2006,Nigeria,Africa,45464400000,57695125268,145430000000,11428020000,,
2007,Nigeria,Africa,43678500000,62656975378,166451000000,1956260000,,
2008,Nigeria,Africa,59398200000,79435963642,208065000000,1290160000,,
2009,Nigeria,Africa,30129486000,51385273905,169481000000,1657070000,,
2010,Nigeria,Africa,44944995000,74099071667,369062000000,2061960000,,
2011,Nigeria,Africa,68613385930,101966000000,411744000000,1768550000,,
2012,Nigeria,Africa,177501339,97143314565,462979000000,1915820000,,
2008,Norway,Europe and Central Asia,71008812,128129000000,453885000000,,29053435301,29053435301
2009,Norway,Europe and Central Asia,42349871975,79857590848,378849000000,,27432394196,27432394196
2010,Norway,Europe and Central Asia,44013892000,91713796937,420946000000,,28925410418,28925410418
2011,Norway,Europe and Central Asia,60421715740,119014000000,490807000000,,,
2012,Norway,Europe and Central Asia,65229640210,121121000000,500030000000,,,
2004,Peru,Latin America and Caribbean,884263514,7023518730,66730306800,463450000,1891110203,1891110203
2005,Peru,Latin America and Caribbean,1756747244,10433642920,74963815413,450480000,2039555519,2039555519
2006,Peru,Latin America and Caribbean,2926435260,15893054240,87985689388,463440000,2241549819,2241549819
2007,Peru,Latin America and Caribbean,3125388073,19194682543,102172000000,307030000,2553560909,2553560909
2008,Peru,Latin America and Caribbean,3573697358,19689907937,121572000000,463020000,3251054184,3251054184
2009,Peru,Latin America and Caribbean,2965369766,15993770399,121200000000,441170000,3535221194,3535221194
2010,Peru,Latin America and Caribbean,4358147652,23087442294,148523000000,-255920000,3993421932,3993421932
2011,Peru,Latin America and Caribbean,5884323617,29773224958,170564000000,604820000,4317271102,4317271102
2012,Peru,Latin America and Caribbean,5480907241,29761875411,192628000000,393820000,5317432530,5317432530
2004,Republic of the Congo,Africa,802597373,,4648628839,115480000,106366671,106366671
2005,Republic of the Congo,Africa,1738493618,,6087002682,1425480000,111743369,111743369
2006,Republic of the Congo,Africa,2581804427,,7731261169,258300000,,
2007,Republic of the Congo,Africa,2553350326,,8394688589,118710000,,
2008,Republic of the Congo,Africa,4645910136,,11859015181,485000000,,
2009,Republic of the Congo,Africa,2343960553,,9593536719,283280000,,
2010,Republic of the Congo,Africa,3195780380,,12007880067,1311500000,746985002,746985002
2011,Republic of the Congo,Africa,5529544307,,14425606793,259790000,,
2012,Republic of the Congo,Africa,3185676000,,13677929162,138600000,,
2013,Republic of the Congo,Africa,3041615000,,14085852120,,,
2006,Sierra Leone,Africa,7255695,,1887429110,380470000,,
2007,Sierra Leone,Africa,10201529,,2158653216,549780000,55243390,55243390
2008,Sierra Leone,Africa,4427564,,2505620416,378210000,60490939,60490939
2009,Sierra Leone,Africa,5875778,,2453972925,448260000,68157380,68157380
2010,Sierra Leone,Africa,7586793,,2578159496,466850000,66805784,66805784
2011,Sierra Leone,Africa,27621406,,2925391430,425300000,78176990,78176990
2009,Tanzania,Africa,102252340,762673242,21368165683,2933150000,1142404105,1142404105
2010,Tanzania,Africa,305762430,1469036470,22915004589,2958180000,1416422264,1416422264
2011,Tanzania,Africa,329804745,1734388900,23874165024,2445770000,,
2012,Tanzania,Africa,468277748,1466303333,28248632096,2831890000,,
2008,Timor Leste,East Asia and Pacific,2509572538,,694000000,277540000,56244189,56244189
2009,Timor Leste,East Asia and Pacific,1763889996,,818000000,216440000,92805945,92805945
2010,Timor Leste,East Asia and Pacific,2149721568,,934000000,291500000,97918505,97918505
2011,Timor Leste,East Asia and Pacific,3453285817,,1123000000,279260000,105771776,105771776
2010,Togo,Africa,60128720,106006296,3172945506,404040000,140345726,140345726
2011,Togo,Africa,31315793,108937614,3756023048,542730000,169833465,169833465
2012,Togo,Africa,31681602,202715695,3915754216,241460000,,
2011,Trinidad & Tobago,Latin America and Caribbean,3593984496,,23676348287,,,
2005,Yemen,Middle East and North Africa,4668154975,,,,,
2006,Yemen,Middle East and North Africa,5122351269,,,,,
2007,Yemen,Middle East and North Africa,5331162225,,,,,
2008,Yemen,Middle East and North Africa,7591231594,,,,,
2009,Yemen,Middle East and North Africa,3625997931,,,,,
2010,Yemen,Middle East and North Africa,5081696110,,,,,
2011,Yemen,Middle East and North Africa,5539756725,,,,,
2008,Zambia,Africa,470370875,4388709669,17911046609,1116240000,240968057,240968057
2009,Zambia,Africa,533783358,3536606857,15328314220,1267060000,,
2010,Zambia,Africa,757063737,6227075029,20265396326,914370000,,
2011,Zambia,Africa,1588841770,7303051806,23731894786,1035060000,,
2012,Zambia,Africa,1537626771,7001604558,24939543374,957720000,,
2013,Zambia,Africa,1498550078,7566407807,26820870559,,,
