Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
Azerbaijan2006,2006,Azerbaijan,2006_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,3510790700,3916760478,..,20982270733,16795972540,536204026.8,0.0255551,206390000
Azerbaijan2006,2006,Azerbaijan,2006_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,3510790700,3916760478,..,20982270733,1485191400,536204026.8,0.0255551,206390000
Azerbaijan2006,2006,Azerbaijan,2006_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,3510790700,3916760478,..,20982270733,15310781140,536204026.8,0.0255551,206390000
Azerbaijan2007,2007,Azerbaijan,2007_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,5563486878,9024065866,..,33050343783,24669210601,842545804,0.0254928,225210000
Azerbaijan2007,2007,Azerbaijan,2007_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,5563486878,9024065866,..,33050343783,2230940600,842545804,0.0254928,225210000
Azerbaijan2007,2007,Azerbaijan,2007_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,5563486878,9024065866,..,33050343783,22438270001,842545804,0.0254928,225210000
Azerbaijan2008,2008,Azerbaijan,2008_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,19134087707,13069504766,24085199611,48852482960,36968547850,1192454912,0.0244093,235100000
Azerbaijan2008,2008,Azerbaijan,2008_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,19134087707,13069504766,24085199611,48852482960,4866195600,1192454912,0.0244093,235100000
Azerbaijan2008,2008,Azerbaijan,2008_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,19134087707,13069504766,24085199611,48852482960,32102352250,1192454912,0.0244093,235100000
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,"Oil, Gas, Mining",yes,yes,yes,Total,14160319906,11881635220,18110724061,44291490421,25121419965,1428094955,0.0322431,231770000
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,"Oil, Gas",no,yes,yes,Total Oil & Gas,14160319906,11881635220,18110724061,44291490421,25111003200,1428094955,0.0322431,231770000
