country,iso,year,Change in general government total expenditure,Change in general government revenue
Papua New Guinea,PNG,2010,-0.096746783,0.354928653
Peru,PER,2010,0.120569009,0.214648075
Qatar,QAT,2010,0.1726306,-0.042566782
Russia,RUS,2010,0.097724773,0.178842826
Saudi Arabia,SAU,2010,0.116494218,0.420879791
Sierra Leone,SLE,2010,0.428255402,0.240656377
Sudan,SDN,2010,0.143543138,0.540345518
Suriname,SUR,2010,0.04991511,0.011882659
Syrian Arab Republic,SYR,2010,0.186068695,-0.031872053
Tanzania,TZA,2010,0.166370856,0.146429076
Timor Leste,TLS,2010,0.258278146,0.373794668
Trinidad and Tobago ,TTO,2010,-0.079014459,0.072741287
Turkmenistan,TKM,2010,0.149553282,-0.135791978
United Arab Emirates,ARE,2010,0.052590717,0.272949418
Uzbekistan,UZB,2010,0.190353023,0.269617681
Venezuela,VEN,2010,0.364644735,0.240708575
Vietnam,VNM,2010,0.132743912,0.270818935
Yemen,YEM,2010,0.141909251,0.392136972
Zambia,ZMB,2010,0.275176069,0.247578394
Algeria,DZA,2011,0.318395154,0.317932081
Angola,AGO,2011,0.294500113,0.449298587
Azerbaijan,AZE,2011,0.291301115,0.201485608
Bahrain,BHR,2011,0.088043478,0.294626594
Bolivia,BOL,2011,0.353281142,0.315524745
Botswana,BWA,2011,0.006533566,0.233686773
Brunei Darussalam,BRN,2011,0.023661639,0.567114914
Cameroon,CMR,2011,0.24633057,0.159849199
Chad,TCD,2011,-0.003123785,0.330190365
Chile,CHL,2011,0.064011535,0.145929331
Colombia,COL,2011,0.111434104,0.165133429
"Congo, Republic of",COG,2011,0.39175941,0.297059878
Dem. Rep. of Congo,ZAR,2011,,
Ecuador,ECU,2011,0.2931642,0.345208315
Equatorial Guinea,GNQ,2011,0.099395952,0.324555739
Gabon,GAB,2011,0.385561458,0.355606289
Ghana,GHA,2011,0.317954697,0.487002859
Guinea,GIN,2011,-0.099663316,0.602780146
Guyana,GUY,2011,0.134796639,0.123492016
Indonesia,IDN,2011,0.193134726,0.24439531
Iran,IRN,2011,0.296710974,0.146766525
Iraq,IRQ,2011,0.173116845,0.421255744
Kazakhstan,KAZ,2011,0.223226908,0.462351297
Kuwait,KWT,2011,0.122450358,0.326747915
Libya,LBY,2011,-0.537782877,-0.729871228
Malaysia,MYS,2011,0.130092085,0.179052369
Mali,MLI,2011,0.174283923,0.121595585
Mauritania,MRT,2011,0.204334492,0.236871334
Mexico,MEX,2011,0.098998478,0.144767563
Mongolia,MNG,2011,0.622054835,0.431132358
Myanmar,MMR,2011,0.072276463,0.142695144
Namibia,NAM,2011,0.263346366,0.201546436
Nigeria,NGA,2011,0.195224053,0.63956461
Norway,NOR,2011,0.051294398,0.101317752
Oman,OMN,2011,0.34489075,0.434170515
Papua New Guinea,PNG,2011,0.177798683,0.123350684
Peru,PER,2011,0.06349605,0.182946869
Qatar,QAT,2011,0.261323412,0.415720062
Russia,RUS,2011,0.134985266,0.300864462
Saudi Arabia,SAU,2011,0.239468644,0.451663287
Sierra Leone,SLE,2011,0.327027569,0.390850634
Sudan,SDN,2011,0.109803922,0.106411352
Suriname,SUR,2011,0.222186287,0.413944954
Syrian Arab Republic,SYR,2011,,
Tanzania,TZA,2011,0.138172456,0.211601838
Timor Leste,TLS,2011,0.453947368,0.473162675
Trinidad and Tobago ,TTO,2011,0.043118951,0.156948155
Turkmenistan,TKM,2011,0.371930615,0.496361849
United Arab Emirates,ARE,2011,0.170305499,0.324602959
Uzbekistan,UZB,2011,0.232073646,0.368625248
Venezuela,VEN,2011,0.668718955,0.754457125
Vietnam,VNM,2011,0.156220907,0.222987791
Yemen,YEM,2011,0.018547653,-0.001055559
Zambia,ZMB,2011,0.267835791,0.331293591
Algeria,DZA,2012,0.205807586,0.104545685
Angola,AGO,2012,0.158169718,0.058133446
Azerbaijan,AZE,2012,0.138991248,-0.062682466
Bahrain,BHR,2012,0.138195138,0.073865635
Bolivia,BOL,2012,0.147584775,0.175779237
Botswana,BWA,2012,0.053480914,0.081455131
Brunei Darussalam,BRN,2012,0.065732447,-0.145955223
Cameroon,CMR,2012,0.02509265,0.078065289
Chad,TCD,2012,0.177220127,0.084628792
Chile,CHL,2012,0.085786132,0.053461407
Colombia,COL,2012,0.054745209,0.1365292
"Congo, Republic of",COG,2012,0.423523445,0.028265377
Dem. Rep. of Congo,ZAR,2012,,
Ecuador,ECU,2012,0.134604905,0.108368067
Equatorial Guinea,GNQ,2012,0.454091733,0.121333311
Gabon,GAB,2012,0.097839416,0.061100014
Ghana,GHA,2012,0.460255276,0.217987938
Guinea,GIN,2012,0.427113662,0.325681137
Guyana,GUY,2012,0.136103977,0.072283272
Indonesia,IDN,2012,0.173451699,0.112163377
Iran,IRN,2012,-0.126525096,-0.156109633
Iraq,IRQ,2012,0.15689845,0.142356238
Kazakhstan,KAZ,2012,0.133222258,0.069646336
Kuwait,KWT,2012,0.111318371,0.153870947
Libya,LBY,2012,0.967730891,3.49705068
Malaysia,MYS,2012,0.116669395,0.118346759
Mali,MLI,2012,-0.215973903,-0.117906206
Mauritania,MRT,2012,0.327139382,0.436787178
Mexico,MEX,2012,0.09620086,0.083421369
Mongolia,MNG,2012,0.299350015,0.113605937
Myanmar,MMR,2012,0.658606425,1.144441767
Namibia,NAM,2012,0.083126048,0.271267944
Nigeria,NGA,2012,-0.073666871,-0.077900196
Norway,NOR,2012,0.043012275,0.054131907
Oman,OMN,2012,0.263060609,0.12706141
Papua New Guinea,PNG,2012,0.184732999,0.008405172
Peru,PER,2012,0.10893321,0.089134126
Qatar,QAT,2012,0.196634541,0.288157077
Russia,RUS,2012,0.159046235,0.123696547
Saudi Arabia,SAU,2012,0.096142719,0.159007323
Sierra Leone,SLE,2012,0.220177969,0.15446717
Sudan,SDN,2012,-0.069983427,-0.311864512
Suriname,SUR,2012,0.260386346,0.071892032
Syrian Arab Republic,SYR,2012,,
Tanzania,TZA,2012,0.203109434,0.170567531
Timor Leste,TLS,2012,0.128506787,0.147141256
Trinidad and Tobago ,TTO,2012,0.03157385,0.025481786
Turkmenistan,TKM,2012,0.206486043,0.382967538
United Arab Emirates,ARE,2012,-0.001337718,0.140370992
Uzbekistan,UZB,2012,0.308177013,0.281801356
Venezuela,VEN,2012,0.22125509,0.01676729
Vietnam,VNM,2012,0.274179771,0.019520352
Yemen,YEM,2012,0.316025624,0.279852889
Zambia,ZMB,2012,0.288229218,0.212919488
Algeria,DZA,2013,-0.136869555,-0.068472927
Angola,AGO,2013,0.074729718,-0.040617135
Azerbaijan,AZE,2013,0.108684663,0.042277391
Bahrain,BHR,2013,0.031889994,-0.019652801
Bolivia,BOL,2013,0.207140421,0.170594806
Botswana,BWA,2013,0.024401021,0.167927201
Brunei Darussalam,BRN,2013,0.030500203,-0.04649251
Cameroon,CMR,2013,0.211692658,0.081125346
Chad,TCD,2013,-0.032105447,-0.136860897
Chile,CHL,2013,0.061550327,0.011243939
Colombia,COL,2013,0.100025746,0.061349067
"Congo, Republic of",COG,2013,0.011560236,0.049364877
Dem. Rep. of Congo,ZAR,2013,,
Ecuador,ECU,2013,0.175538227,0.077813133
Equatorial Guinea,GNQ,2013,-0.18556465,-0.163309033
Gabon,GAB,2013,-0.011927582,-0.006177571
Ghana,GHA,2013,0.12310688,0.121636168
Guinea,GIN,2013,0.042860527,-0.055569281
Guyana,GUY,2013,0.01035401,0.023008101
Indonesia,IDN,2013,0.123048557,0.098393949
Iran,IRN,2013,0.361683358,0.306143705
Iraq,IRQ,2013,0.203602585,-0.033752975
Kazakhstan,KAZ,2013,0.049273152,0.090696536
Kuwait,KWT,2013,0.013319617,0.008882682
Libya,LBY,2013,0.264365566,-0.267044998
Malaysia,MYS,2013,0.033457276,0.009073828
Mali,MLI,2013,0.325017155,0.243291789
Mauritania,MRT,2013,0.01578301,-0.092240089
Mexico,MEX,2013,0.051786703,0.048758506
Mongolia,MNG,2013,0.18415196,0.202519267
Myanmar,MMR,2013,0.154397083,0.137447986
Namibia,NAM,2013,0.210211493,0.100934527
Nigeria,NGA,2013,0.061974479,-0.140805281
Norway,NOR,2013,0.061820243,0.008800716
Oman,OMN,2013,0.046599399,0.013656633
Papua New Guinea,PNG,2013,0.203890976,0.040820688
Peru,PER,2013,0.140650107,0.078668603
Qatar,QAT,2013,0.079410789,0.220836645
Russia,RUS,2013,0.091314639,0.042994516
Saudi Arabia,SAU,2013,0.084093899,-0.057360272
Sierra Leone,SLE,2013,-0.00618668,0.1282949
Sudan,SDN,2013,0.394001547,0.54095931
Suriname,SUR,2013,0.098887256,-0.011622276
Syrian Arab Republic,SYR,2013,,
Tanzania,TZA,2013,0.131384468,0.139948499
Timor Leste,TLS,2013,-0.133119487,-0.008551185
Trinidad and Tobago ,TTO,2013,0.140061966,0.083724451
Turkmenistan,TKM,2013,0.282749234,-0.031692483
United Arab Emirates,ARE,2013,0.08380291,0.056914663
Uzbekistan,UZB,2013,0.251912184,0.082860456
Venezuela,VEN,2013,0.280502453,0.342507296
Vietnam,VNM,2013,0.08108956,0.11931076
Yemen,YEM,2013,-0.02656916,-0.085032
Zambia,ZMB,2013,0.265922956,0.085326596
Algeria,DZA,2014,0.116094157,-0.038034452
Angola,AGO,2014,-0.042198182,-0.108431171
Azerbaijan,AZE,2014,0.016961517,-0.008349813
Bahrain,BHR,2014,0.09016161,0.040093552
Bolivia,BOL,2014,0.210837898,0.098061477
Botswana,BWA,2014,0.228444764,0.065477047
Brunei Darussalam,BRN,2014,-0.034069982,-0.038701025
Cameroon,CMR,2014,0.10825975,0.046126967
Chad,TCD,2014,0.038004488,-0.075824566
Chile,CHL,2014,0.098098482,0.054935053
Colombia,COL,2014,0.103687638,0.086923445
"Congo, Republic of",COG,2014,0.069860279,-0.082973068
Dem. Rep. of Congo,ZAR,2014,,
Ecuador,ECU,2014,0.064989064,0.049624262
Equatorial Guinea,GNQ,2014,-0.089981961,-0.101400494
Gabon,GAB,2014,-0.141630717,-0.09613223
Ghana,GHA,2014,0.230475824,0.335508637
Guinea,GIN,2014,0.295402312,0.398788144
Guyana,GUY,2014,0.179720284,0.163057098
Indonesia,IDN,2014,0.085784409,0.07295367
Iran,IRN,2014,0.180774428,0.147034897
Iraq,IRQ,2014,-0.146337096,-0.09558209
Kazakhstan,KAZ,2014,0.218139827,0.057065963
Kuwait,KWT,2014,0.177771841,-0.046043524
Libya,LBY,2014,-0.240052982,-0.609309375
Malaysia,MYS,2014,0.031540383,0.054507525
Mali,MLI,2014,0.20745764,0.168601494
Mauritania,MRT,2014,0.09699548,0.003179838
Mexico,MEX,2014,0.058462833,0.023900309
Mongolia,MNG,2014,0.107937156,0.023064687
Myanmar,MMR,2014,0.316356706,0.219603951
Namibia,NAM,2014,0.243358341,0.230856681
Nigeria,NGA,2014,0.002323891,-0.016342642
Norway,NOR,2014,0.065362156,0.014778617
Oman,OMN,2014,0.074035914,-0.028526258
Papua New Guinea,PNG,2014,0.19536,0.284702259
Peru,PER,2014,0.100631386,0.05936643
Qatar,QAT,2014,0.044768665,-0.085089564
Russia,RUS,2014,0.076115967,0.078893662
Saudi Arabia,SAU,2014,0.138215026,-0.084638878
Sierra Leone,SLE,2014,0.152330552,0.101777983
Sudan,SDN,2014,0.297764056,0.440150389
Suriname,SUR,2014,-0.080053496,-0.034786869
Syrian Arab Republic,SYR,2014,,
Tanzania,TZA,2014,0.131262004,0.137559374
Timor Leste,TLS,2014,0.205365402,-0.400197141
Trinidad and Tobago ,TTO,2014,0.05863557,-0.004121263
Turkmenistan,TKM,2014,0.119310345,0.088816919
United Arab Emirates,ARE,2014,0.029660129,-0.078477446
Uzbekistan,UZB,2014,0.225068255,0.185139004
Venezuela,VEN,2014,0.636463122,0.754833777
Vietnam,VNM,2014,0.025327026,0.030231901
Yemen,YEM,2014,-0.035178991,0.058145966
Zambia,ZMB,2014,0.118662738,0.180626995
Algeria,DZA,2015,0.056869416,-0.115365435
Angola,AGO,2015,-0.228133222,-0.292636486
Azerbaijan,AZE,2015,-0.004931851,-0.175758919
Bahrain,BHR,2015,0.033029909,-0.097976229
Bolivia,BOL,2015,-0.040361519,-0.077237829
Botswana,BWA,2015,0.056375944,0.065582311
Brunei Darussalam,BRN,2015,-0.021789459,-0.521474838
Cameroon,CMR,2015,0.056527012,-0.001778697
Chad,TCD,2015,-0.192734135,-0.195888491
Chile,CHL,2015,0.113605182,0.08564182
Colombia,COL,2015,0.031458667,-0.035488431
"Congo, Republic of",COG,2015,0.005510682,-0.181123411
Dem. Rep. of Congo,ZAR,2015,,
Ecuador,ECU,2015,-0.088465618,-0.108900765
Equatorial Guinea,GNQ,2015,-0.065649481,-0.255105138
Gabon,GAB,2015,-0.035506556,-0.203850945
Ghana,GHA,2015,0.066036259,0.226789307
Guinea,GIN,2015,0.203015104,-0.018614301
Guyana,GUY,2015,0.051347876,0.070453961
Indonesia,IDN,2015,0.04245025,0.024846436
Iran,IRN,2015,0.160874721,0.074753646
Iraq,IRQ,2015,-0.078709448,-0.205314611
Kazakhstan,KAZ,2015,0.045714051,-0.16593817
Kuwait,KWT,2015,-0.038744216,-0.316760993
Libya,LBY,2015,0.014441577,-0.398457584
Malaysia,MYS,2015,0.006164165,0.006769392
Mali,MLI,2015,0.067185573,0.034739873
Mauritania,MRT,2015,-0.002623647,0.078027014
Mexico,MEX,2015,-0.012549081,-0.004042578
Mongolia,MNG,2015,0.005166069,0.010555383
Myanmar,MMR,2015,0.233985053,0.151643734
Namibia,NAM,2015,0.1050063,0.116807947
Nigeria,NGA,2015,-0.062667116,-0.063087396
Norway,NOR,2015,0.034202579,0.004485359
Oman,OMN,2015,-0.07167329,-0.294700347
Papua New Guinea,PNG,2015,0.048454022,0.044353872
Peru,PER,2015,0.068013941,-0.007045638
Qatar,QAT,2015,0.020955307,-0.179356788
Russia,RUS,2015,0.066819969,-0.004568
Saudi Arabia,SAU,2015,0.01191549,-0.267050206
Sierra Leone,SLE,2015,0.112588075,0.020308329
Sudan,SDN,2015,0.179540555,0.125311153
Suriname,SUR,2015,-0.005815161,-0.050761421
Syrian Arab Republic,SYR,2015,,
Tanzania,TZA,2015,0.165117399,0.151028767
Timor Leste,TLS,2015,0.044512663,-0.283073131
Trinidad and Tobago ,TTO,2015,-0.018265551,-0.019043277
Turkmenistan,TKM,2015,0.111521873,0.017756546
United Arab Emirates,ARE,2015,0.004325221,-0.235771872
Uzbekistan,UZB,2015,0.197135514,0.13991206
Venezuela,VEN,2015,0.441309559,0.15963869
Vietnam,VNM,2015,0.130164928,0.077446367
Yemen,YEM,2015,-0.149746958,-0.228227955
Zambia,ZMB,2015,0.076781055,0.083349234
