,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
663,Equatorial Guinea,GNQ,X2003,254.804,471.162,0.575792058,0.136749002
664,Gabon,GAB,X2003,802.44,1095.188,-0.157148649,0.004852743
665,Ghana,GHA,X2003,1.975,1.65,0.535769829,0.724137931
666,Guinea,GIN,X2003,1395.299,952.672,0.205597092,0.086391596
667,Guyana,GUY,X2003,72.539,57.692,0.058469036,-0.05974771
668,Indonesia,IDN,X2003,398067.721,374485.402,0.18654127,0.155719964
669,Iran,IRN,X2003,251732.394,266641.105,0.220431525,0.262530578
670,Iraq,IRQ,X2003,,,,
671,Kazakhstan,KAZ,X2003,984.892,1169.189,0.270561159,0.37906147
672,Kuwait,KWT,X2003,5.281,7.749,0.088417148,0.092485549
673,Libya,LBY,X2003,14.475,16.614,0.319146997,0.292918288
674,Malaysia,MYS,X2003,128.022,107.055,0.130037956,0.106362969
675,Mali,MLI,X2003,568.99,536.528,0.052556611,0.17481366
676,Mauritania,MRT,X2003,,119.684,,0.102356983
677,Mexico,MEX,X2003,1690.459,1512.707,0.067372035,0.12591475
678,Mongolia,MNG,X2003,615.753,553.888,0.118572666,0.161071504
679,Myanmar,MMR,X2003,1245.703,836.168,0.45867545,0.272189232
680,Namibia,NAM,X2003,11.697,9.933,0.097485457,-0.015755054
681,Nigeria,NGA,X2003,3086.757,2794.767,0.405426091,0.190048998
682,Norway,NOR,X2003,762.748,878.984,0.068026201,0.027980525
683,Oman,OMN,X2003,3.229,3.792,0.066380449,0.083738211
684,Papua New Guinea,PNG,X2003,3.811,3.664,0.026393752,0.131912264
685,Peru,PER,X2003,40.953,37.65,0.098465748,0.087553078
686,Qatar,QAT,X2003,25.212,30.718,0.105837975,0.042949784
687,Russia,RUS,X2003,4613.409,4804.48,0.17557293,0.200387164
688,Saudi Arabia,SAU,X2003,288.911,333.007,0.050994387,0.269057373
689,Sierra Leone,SLE,X2003,612.563,467.001,0.162705018,0.167423699
690,Sudan,SDN,X2003,6.991,7.419,0.388756456,0.576163161
691,Suriname,SUR,X2003,0.803,0.857,-0.045184304,0.310397554
692,Syrian Arab Republic,SYR,X2003,350.609,321.564,0.101266141,0.087268473
693,Tanzania,TZA,X2003,2258.862,1997.897,0.308611293,0.222716652
694,Timor Leste,TLS,X2003,0.07,0.043,0.147540984,0.264705882
695,Trinidad and Tobago ,TTO,X2003,16.739,17.923,0.124554921,0.375518035
696,Turkmenistan,TKM,X2003,2.299,2.741,0.407838334,0.662219527
697,United Arab Emirates,ARE,X2003,91.561,110.515,0.064229674,0.190612139
698,Uzbekistan,UZB,X2003,3266.18,3288.545,0.17282696,0.243680518
699,Venezuela,VEN,X2003,43.188,43.419,0.292318741,0.364476289
700,Vietnam,VNM,X2003,172885.6,152957,0.286983191,0.256671268
701,Yemen,YEM,X2003,763.054,672.293,0.319925135,0.184298327
702,Zambia,ZMB,X2003,6.337,5.104,0.245969328,0.19924812
865,Algeria,DZA,X2004,1891.769,2215.165,0.118493822,0.137477105
866,Angola,AGO,X2004,586.399,609.686,0.282716546,0.543907541
867,Azerbaijan,AZE,X2004,2.206,2.288,0.082433759,0.19665272
868,Bahrain,BHR,X2004,1.288,1.301,0.056603774,0.135253054
869,Bolivia,BOL,X2004,22.52,18.661,0.137201434,0.250066988
870,Botswana,BWA,X2004,17.383,17.958,0.068014254,0.109134704
871,Brunei Darussalam,BRN,X2004,4.888,6.151,0.250127877,0.247667343
872,Cameroon,CMR,X2004,1331.171,1285.921,0.091912274,0.011739575
873,Chad,TCD,X2004,336.778,273.778,-0.032525136,0.106799806
874,Chile,CHL,X2004,12605.227,13843.659,0.070542967,0.198085007
875,Colombia,COL,X2004,81313.885,77422.845,0.072555288,0.13042382
876,"Congo, Republic of",COG,X2004,656.31,745.8,0.084257931,0.215647922
877,Dem. Rep. of Congo,COD,X2004,359.5,288.7,NA,0.611451635
878,Ecuador,ECU,X2004,7.47,8.177,0.13405192,0.183357453
879,Equatorial Guinea,GNQ,X2004,484.924,773.525,0.90312554,0.641738935
880,Gabon,GAB,X2004,855.32,1141.846,0.065899008,0.042602731
881,Ghana,GHA,X2004,2.69,2.294,0.362025316,0.39030303
882,Guinea,GIN,X2004,1464.15,1027.373,0.049344979,0.078412087
883,Guyana,GUY,X2004,77.728,68.268,0.071533933,0.183318311
884,Indonesia,IDN,X2004,445297.685,438800.21,0.118648063,0.171741829
885,Iran,IRN,X2004,297493.48,352606.235,0.181784653,0.322400142
886,Iraq,IRQ,X2004,48683.837,29839.493,,
887,Kazakhstan,KAZ,X2004,1289.822,1441.123,0.309607551,0.23258344
888,Kuwait,KWT,X2004,5.991,9.882,0.134444234,0.275261324
889,Libya,LBY,X2004,18.245,23.272,0.26044905,0.400746358
890,Malaysia,MYS,X2004,133.642,116.329,0.043898705,0.086628369
891,Mali,MLI,X2004,625.835,557.96,0.099905095,0.039945725
892,Mauritania,MRT,X2004,149.569,130.414,,0.089652752
893,Mexico,MEX,X2004,1826.364,1717.979,0.080395325,0.135698453
894,Mongolia,MNG,X2004,752.475,713.113,0.222040331,0.287467864
895,Myanmar,MMR,X2004,1480.696,1062.935,0.188642879,0.271197893
