country,iso,year,General government total expenditure,General government revenue
Syrian Arab Republic,SYR,2008,561.327,491.205
Tanzania,TZA,2008,6062.281,5424.305
Timor Leste,TLS,2008,0.57,2.561
Trinidad and Tobago ,TTO,2008,51.083,64.388
Turkmenistan,TKM,2008,5.375,10.323
United Arab Emirates,ARE,2008,254.308,486.951
Uzbekistan,UZB,2008,11517.762,15357.337
Venezuela,VEN,2008,236.341,212.889
Vietnam,VNM,2008,437416,429523
Yemen,YEM,2008,2217.365,1973.749
Zambia,ZMB,2008,13.054,12.606
Algeria,DZA,2009,4220.957,3676.062
Angola,AGO,2009,2510.197,2069.733
Azerbaijan,AZE,2009,12.028,14.368
Bahrain,BHR,2009,2.211,1.729
Bolivia,BOL,2009,43.602,43.619
Botswana,BWA,2009,39.49,29.024
Brunei Darussalam,BRN,2009,6.038,6.636
Cameroon,CMR,2009,1931.276,1925.928
Chad,TCD,2009,1057.776,655.001
Chile,CHL,2009,23797.395,19858.865
Colombia,COL,2009,148980.258,134879.209
"Congo, Republic of",COG,2009,1117.279,1334.761
Dem. Rep. of Congo,COD,2009,2055.6,2240.5
Ecuador,ECU,2009,20.61,18.378
Equatorial Guinea,GNQ,2009,2827.522,2368.087
Gabon,GAB,2009,1296.716,1685.163
Ghana,GHA,2009,8.582,6.017
Guinea,GIN,2009,5240.25,3662.49
Guyana,GUY,2009,134.188,118.887
Indonesia,IDN,2009,1023520.332,924686.395
Iran,IRN,2009,810201.928,842755.227
Iraq,IRQ,2009,76920.414,60330.969
Kazakhstan,KAZ,2009,3991.72,3765.851
Kuwait,KWT,2009,12.868,21.161
Libya,LBY,2009,45.947,41.786
Malaysia,MYS,2009,230.643,182.64
Mali,MLI,2009,1097.792,918.936
Mauritania,MRT,2009,227.982,198.434
Mexico,MEX,2009,3283.374,2668.803
Mongolia,MNG,2009,2336.63,1993.996
Myanmar,MMR,2009,5462.956,3740.035
Namibia,NAM,2009,23.976,23.874
Nigeria,NGA,2009,6848.463,4474.352
Norway,NOR,2009,1094.505,1345.376
Oman,OMN,2009,7.116,7.058
Papua New Guinea,PNG,2009,8.238,6.097
Peru,PER,2009,78.171,72.146
Qatar,QAT,2009,122.626,181.597
Russia,RUS,2009,16048.336,13599.718
Saudi Arabia,SAU,2009,644.444,578.569
Sierra Leone,SLE,2009,1451.956,1257.997
Sudan,SDN,2009,25.198,18.986
Suriname,SUR,2009,2.945,2.693
Syrian Arab Republic,SYR,2009,674.079,601.185
Tanzania,TZA,2009,7609.59,5918.763
Timor Leste,TLS,2009,0.604,1.763
Trinidad and Tobago ,TTO,2009,53.737,41.517
Turkmenistan,TKM,2009,7.723,11.768
United Arab Emirates,ARE,2009,325.875,286.053
Uzbekistan,UZB,2009,16646.77,18009.672
Venezuela,VEN,2009,235.303,173.87
Vietnam,VNM,2009,571807.09,462877.9
Yemen,YEM,2009,1795.112,1274.598
Zambia,ZMB,2009,13.773,12.182
Algeria,DZA,2010,4439.854,4393.344
Angola,AGO,2010,3034.026,3295.49
Azerbaijan,AZE,2010,13.45,19.386
Bahrain,BHR,2010,2.76,2.196
Bolivia,BOL,2010,43.43,45.727
Botswana,BWA,2010,38.417,31.217
Brunei Darussalam,BRN,2010,6.762,8.18
Cameroon,CMR,2010,2066.942,1940.041
Chad,TCD,2010,1288.501,1068.841
Chile,CHL,2010,26499.255,26093.452
Colombia,COL,2010,160177.848,142207.045
"Congo, Republic of",COG,2010,1274.933,2231.2
Dem. Rep. of Congo,COD,2010,3319,3776.3
Ecuador,ECU,2010,24.123,23.186
Equatorial Guinea,GNQ,2010,2516.853,2150.931
Gabon,GAB,2010,1642.091,1834.003
Ghana,GHA,2010,12.008,7.694
Guinea,GIN,2010,8049.1,4257.69
Guyana,GUY,2010,140.686,127.571
Indonesia,IDN,2010,1159098.284,1073832.299
Iran,IRN,2010,917548.274,1049659.46
Iraq,IRQ,2010,80344.082,73571.55
Kazakhstan,KAZ,2010,4902.693,5223.314
Kuwait,KWT,2010,14.806,23.385
Libya,LBY,2010,50.552,61.504
Malaysia,MYS,2010,221.643,184.46
Mali,MLI,2010,1071.602,935.807
Mauritania,MRT,2010,269.005,262.003
Mexico,MEX,2010,3569.368,3002.406
Mongolia,MNG,2010,3080.685,3122.192
Myanmar,MMR,2010,6721.967,4551.171
Namibia,NAM,2010,27.367,23.538
Nigeria,NGA,2010,9236.157,6889.637
Norway,NOR,2010,1142.23,1424.775
Oman,OMN,2010,7.643,8.879
Papua New Guinea,PNG,2010,7.441,8.261
Peru,PER,2010,87.596,87.632
Qatar,QAT,2010,143.795,173.867
Russia,RUS,2010,17616.656,16031.93
Saudi Arabia,SAU,2010,719.518,822.077
Sierra Leone,SLE,2010,2073.764,1560.742
Sudan,SDN,2010,28.815,29.245
Suriname,SUR,2010,3.092,2.725
Syrian Arab Republic,SYR,2010,799.504,582.024
Tanzania,TZA,2010,8875.604,6785.442
Timor Leste,TLS,2010,0.76,2.422
Trinidad and Tobago ,TTO,2010,49.491,44.537
Turkmenistan,TKM,2010,8.878,10.17
United Arab Emirates,ARE,2010,343.013,364.131
Uzbekistan,UZB,2010,19815.533,22865.398
Venezuela,VEN,2010,321.105,215.722
Vietnam,VNM,2010,647711,588234
Yemen,YEM,2010,2049.855,1774.415
Zambia,ZMB,2010,17.563,15.198
Algeria,DZA,2011,5853.482,5790.129
Angola,AGO,2011,3927.547,4776.149
Azerbaijan,AZE,2011,17.368,23.292
Bahrain,BHR,2011,3.003,2.843
Bolivia,BOL,2011,58.773,60.155
Botswana,BWA,2011,38.668,38.512
Brunei Darussalam,BRN,2011,6.922,12.819
Cameroon,CMR,2011,2576.093,2250.155
Chad,TCD,2011,1284.476,1421.762
Chile,CHL,2011,28195.513,29901.252
Colombia,COL,2011,178027.123,165690.182
"Congo, Republic of",COG,2011,1774.4,2894
Dem. Rep. of Congo,COD,2011,3543.6,3438.9
Ecuador,ECU,2011,31.195,31.19
Equatorial Guinea,GNQ,2011,2767.018,2849.028
Gabon,GAB,2011,2275.218,2486.186
Ghana,GHA,2011,15.826,11.441
