Country,ISO,Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ghana,GHA,GGExpCh,,0.524813896,0.04637917,0.535769829,0.362025316,0.14535316,0.321648815,0.30132613,0.389130025,0.165874202,0.399207644,0.317954697,0.460255276,0.12310688,0.230475824,0.066036259
Guinea,GIN,GGExpCh,,0.247290034,0.039073288,0.205597092,0.049344979,0.234764198,0.588274664,-0.203457535,0.413029906,0.621423678,0.536014503,-0.099663316,0.427113662,0.042860527,0.295402312,0.203015104
Guyana,GUY,GGExpCh,,0.083142578,0.012813123,0.058469036,0.071533933,0.249009366,0.1352657,0.040157873,0.053855078,0.110689898,0.048424598,0.134796639,0.136103977,0.01035401,0.179720284,0.051347876
Indonesia,IDN,GGExpCh,,0.51016665,-0.039600515,0.18654127,0.118648063,0.181488913,0.276735784,0.198171918,0.304827033,-0.02536215,0.132462393,0.193134726,0.173451699,0.123048557,0.085784409,0.04245025
Iran,IRN,GGExpCh,,0.200928706,0.640387433,0.220431525,0.181784653,0.512920545,0.255023859,0.093297397,0.342082579,-0.022469843,0.132493323,0.296710974,-0.126525096,0.361683358,0.180774428,0.160874721
Iraq,IRQ,GGExpCh,,#N/A,#N/A,#N/A,#N/A,-0.045327364,0.035097845,0.068548627,0.748898347,-0.144417138,0.044509225,0.173116845,0.15689845,0.203602585,-0.146337096,-0.078709448
Kazakhstan,KAZ,GGExpCh,,#N/A,#N/A,0.270561159,0.309607551,0.302414597,0.20377431,0.506256552,0.426566144,-0.081360529,0.228215656,0.223226908,0.133222258,0.049273152,0.218139827,0.045714051
Kuwait,KWT,GGExpCh,,0.086052009,0.056160209,0.088417148,0.134444234,0.107494575,0.417483044,0.042955875,0.632072586,-0.196202136,0.150606155,0.122450358,0.111318371,0.013319617,0.177771841,-0.038744216
Libya,LBY,GGExpCh,,0.454662973,0.393043037,0.319146997,0.26044905,-0.013757194,0.250027787,0.277152892,0.515438438,0.055427941,0.100224171,-0.537782877,0.967730891,0.264365566,-0.240052982,0.014441577
Malaysia,MYS,GGExpCh,,0.089279971,0.045313206,0.130037956,0.043898705,0.04541237,0.144254926,0.128583492,0.203324447,0.062356924,-0.039021345,0.130092085,0.116669395,0.033457276,0.031540383,0.006164165
Mali,MLI,GGExpCh,,0.142403558,0.160182683,0.052556611,0.099905095,0.138728259,0.117372196,0.05355757,-0.012765957,0.32545156,-0.023856978,0.174283923,-0.215973903,0.325017155,0.20745764,0.067185573
Mauritania,MRT,GGExpCh,,#N/A,#N/A,#N/A,#N/A,0.111527121,0.202923308,0.104782335,0.112238109,-0.072259592,0.179939644,0.204334492,0.327139382,0.01578301,0.09699548,-0.002623647
Mexico,MEX,GGExpCh,,0.064292834,0.101210752,0.067372035,0.080395325,0.121773097,0.175547622,0.10351259,0.196062872,0.032895695,0.087103693,0.098998478,0.09620086,0.051786703,0.058462833,-0.012549081
Mongolia,MNG,GGExpCh,,0.158712883,0.124049987,0.118572666,0.222040331,0.016109505,0.37971245,0.658603843,0.409826022,-0.052758785,0.318430817,0.622054835,0.299350015,0.18415196,0.107937156,0.005166069
Myanmar,MMR,GGExpCh,,0.127080207,0.280411413,0.45867545,0.188642879,0.394363191,0.543761879,0.310538658,0.065710143,0.22720366,0.230463324,0.072276463,0.658606425,0.154397083,0.316356706,0.233985053
Namibia,NAM,GGExpCh,,0.148548524,0.127115059,0.097485457,0.044712319,0.05613748,0.106849527,0.114875744,0.235087279,0.218912049,0.1414331,0.263346366,0.083126048,0.210211493,0.243358341,0.1050063
Nigeria,NGA,GGExpCh,,0.470772817,-0.1249623,0.405426091,0.029127333,0.339675307,-0.166127978,0.681272068,-0.056619235,0.216739448,0.348646696,0.195224053,-0.073666871,0.061974479,0.002323891,-0.062667116
Norway,NOR,GGExpCh,,0.078838293,0.051670059,0.068026201,0.031723453,0.036315117,0.068541292,0.064370797,0.093991034,0.078657366,0.043604186,0.051294398,0.043012275,0.061820243,0.065362156,0.034202579
Oman,OMN,GGExpCh,,0.063248503,0.065821894,0.066380449,0.151440074,0.124529317,0.176751973,0.159756098,0.203470032,0.036260376,0.07405846,0.34489075,0.263060609,0.046599399,0.074035914,-0.07167329
Papua New Guinea,PNG,GGExpCh,,0.125691957,0.074052647,0.026393752,0.077407505,0.192888456,0.05839118,0.027199074,0.22028169,0.2677747,-0.096746783,0.177798683,0.184732999,0.203890976,0.19536,0.048454022
Peru,PER,GGExpCh,,-0.019830473,-0.004911119,0.098465748,0.077845335,0.129494121,0.100427222,0.083424468,0.170808028,0.123243383,0.120569009,0.06349605,0.10893321,0.140650107,0.100631386,0.068013941
Qatar,QAT,GGExpCh,,0.010397674,0.11192938,0.105837975,0.431976836,0.406198931,0.322624488,0.284480319,0.15894677,0.226775246,0.1726306,0.261323412,0.196634541,0.079410789,0.044768665,0.020955307
Russia,RUS,GGExpCh,,0.256713138,0.301589744,0.17557293,0.171670017,0.261822221,0.227923166,0.358599193,0.244182445,0.133595069,0.097724773,0.134985266,0.159046235,0.091314639,0.076115967,0.066819969
Saudi Arabia,SAU,GGExpCh,,0.080894427,0.011160197,0.050994387,0.173008297,0.10768232,0.102150308,0.189355963,0.147497241,0.141301711,0.116494218,0.239468644,0.096142719,0.084093899,0.138215026,0.01191549
Sierra Leone,SLE,GGExpCh,,0.302625655,0.27345967,0.162705018,0.157384628,0.21337262,0.079762068,-0.101358546,0.446403734,0.202615354,0.428255402,0.327027569,0.220177969,-0.00618668,0.152330552,0.112588075
